Meta 資訊
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

廣告主資料
帳號：3518918538334496,公司：木品時尚有限公司,和德街33號11樓,"高雄市鳳山區,",Taiwan,BAN: 90553951

帳單報告：2026/7/1 - 2026/8/1

Meta 廣告付款
日期,交易編號,付款方式,金額,幣別
2026/7/31,27813765338307724-27798577089826553,Visa ···· 5208,"32,000",TWD
2026/7/29,27828141426870118-27762377456779850,Visa ···· 5208,"24,833",TWD
2026/7/16,27445200298497571-27559747170376212,Visa ···· 5208,"8,035",TWD
2026/7/11,27619416154409314-27509038295447100,Visa ···· 5208,"32,000",TWD
2026/7/6,27513513194999608-27338492579168344,Visa ···· 5208,"24,889",TWD
2026/7/6,27562579873426276-27793976840286572,Visa ···· 5208,"30,000",TWD
2026/7/6,27465767449774188-27452159811134949,Visa ···· 5208,55,TWD
2026/7/6,27338203815863887-27338203892530546,Visa ···· 5208,33,TWD
2026/7/6,27409179995432928-27409180028766258,Visa ···· 5208,40,TWD
2026/7/6,27562326430118287-27562326506784946,Visa ···· 5208,160,TWD
,,總帳單金額,"120,120",TWD
,,總儲值金額,"94,000",TWD

VAT Rate: 0%
VAT Amount: 0
